Date,Open,High,Low,Close*,Adj Close**,Volume
"May 28, 2018","2,705.11","2,736.93","2,676.81","2,734.62","2,734.62","15,217,440,000"
"May 21, 2018","2,735.39","2,742.24","2,707.38","2,721.33","2,721.33","15,963,780,000"
"May 14, 2018","2,738.47","2,742.10","2,701.91","2,712.97","2,712.97","16,310,100,000"
"May 07, 2018","2,680.34","2,732.86","2,655.20","2,727.72","2,727.72","17,060,780,000"
"Apr 30, 2018","2,682.51","2,682.87","2,594.62","2,663.42","2,663.42","18,483,840,000"
"Apr 23, 2018","2,675.40","2,683.55","2,612.67","2,669.91","2,669.91","17,108,410,000"
"Apr 16, 2018","2,670.10","2,717.49","2,660.61","2,670.14","2,670.14","16,375,430,000"
"Apr 09, 2018","2,617.18","2,680.26","2,610.79","2,656.30","2,656.30","15,609,880,000"
"Apr 02, 2018","2,633.45","2,672.08","2,553.80","2,604.47","2,604.47","16,820,340,000"
"Mar 26, 2018","2,619.35","2,674.78","2,593.06","2,640.87","2,640.87","14,647,940,000"
"Mar 19, 2018","2,741.38","2,741.38","2,585.89","2,588.26","2,588.26","17,533,550,000"
"Mar 12, 2018","2,790.54","2,801.90","2,741.47","2,752.01","2,752.01","18,750,700,000"
"Mar 05, 2018","2,681.06","2,786.57","2,675.75","2,786.57","2,786.57","17,051,190,000"
"Feb 26, 2018","2,757.37","2,789.15","2,647.32","2,691.25","2,691.25","19,786,810,000"
"Feb 19, 2018","2,722.99","2,747.76","2,697.77","2,747.30","2,747.30","14,297,470,000"
"Feb 12, 2018","2,636.75","2,754.42","2,622.45","2,732.22","2,732.22","18,854,770,000"
"Feb 05, 2018","2,741.06","2,763.39","2,532.69","2,619.55","2,619.55","26,787,200,000"
"Jan 29, 2018","2,867.23","2,870.62","2,759.97","2,762.13","2,762.13","20,065,340,000"
"Jan 22, 2018","2,809.16","2,872.87","2,808.12","2,872.87","2,872.87","18,283,880,000"
"Jan 15, 2018","2,798.96","2,810.33","2,768.64","2,810.30","2,810.30","15,424,920,000"
"Jan 08, 2018","2,742.67","2,787.85","2,736.06","2,786.24","2,786.24","17,487,770,000"
"Jan 01, 2018","2,683.73","2,743.45","2,682.36","2,743.15","2,743.15","13,837,790,000"
"Dec 25, 2017","2,679.09","2,692.12","2,673.61","2,673.61","2,673.61","8,767,680,000"
"Dec 18, 2017","2,685.92","2,694.97","2,676.11","2,683.34","2,683.34","16,007,500,000"
"Dec 11, 2017","2,652.19","2,679.63","2,651.47","2,675.81","2,675.81","19,343,950,000"
"Dec 04, 2017","2,657.19","2,665.19","2,624.75","2,651.50","2,651.50","17,189,740,000"
"Nov 27, 2017","2,602.66","2,657.74","2,598.87","2,642.22","2,642.22","19,454,370,000"
"Nov 20, 2017","2,579.49","2,604.21","2,578.24","2,602.42","2,602.42","10,448,990,000"
"Nov 13, 2017","2,576.53","2,590.09","2,557.45","2,578.85","2,578.85","17,216,450,000"
"Nov 06, 2017","2,587.47","2,597.02","2,566.33","2,582.30","2,582.30","18,566,610,000"
"Oct 30, 2017","2,577.75","2,588.42","2,566.17","2,587.84","2,587.84","18,915,260,000"
"Oct 23, 2017","2,578.08","2,582.98","2,544.00","2,581.07","2,581.07","18,269,710,000"
"Oct 16, 2017","2,555.57","2,575.44","2,547.92","2,575.21","2,575.21","15,178,860,000"
"Oct 09, 2017","2,551.39","2,557.65","2,541.60","2,553.17","2,553.17","14,721,510,000"
"Oct 02, 2017","2,521.20","2,552.51","2,520.40","2,549.33","2,549.33","15,215,390,000"
"Sep 25, 2017","2,499.39","2,519.44","2,488.03","2,519.36","2,519.36","16,177,570,000"
"Sep 18, 2017","2,502.51","2,508.85","2,496.54","2,502.22","2,502.22","15,770,230,000"
"Sep 11, 2017","2,474.52","2,500.23","2,474.52","2,500.23","2,500.23","18,158,360,000"
"Sep 04, 2017","2,470.35","2,471.97","2,446.55","2,461.43","2,461.43","13,521,090,000"
"Aug 28, 2017","2,447.35","2,480.38","2,428.20","2,476.55","2,476.55","14,107,780,000"
"Aug 21, 2017","2,425.50","2,454.77","2,417.35","2,443.05","2,443.05","13,786,300,000"
"Aug 14, 2017","2,454.96","2,474.93","2,420.69","2,425.55","2,425.55","15,247,600,000"
"Aug 07, 2017","2,477.14","2,490.87","2,437.75","2,441.32","2,441.32","16,365,480,000"
"Jul 31, 2017","2,475.94","2,480.38","2,466.48","2,476.83","2,476.83","17,288,810,000"
"Jul 24, 2017","2,472.04","2,484.04","2,459.93","2,472.10","2,472.10","17,965,610,000"
"Jul 17, 2017","2,459.50","2,477.62","2,450.34","2,472.54","2,472.54","15,057,410,000"
"Jul 10, 2017","2,424.51","2,463.54","2,412.79","2,459.27","2,459.27","15,081,810,000"
"Jul 03, 2017","2,431.39","2,439.17","2,407.70","2,425.18","2,425.18","11,595,360,000"
