,Ticker1,Open1,Date1,Volume1,Ticker2,Open2,Date2,Volume2
11899,ETN,67.59,2016-12-31,2231867.0,ETN,79.23,2017-12-31,2774064.0
11900,ETN,73.8,2017-03-31,2011463.0,ETN,79.47,2018-03-31,2401543.0
11901,ETN,76.9,2017-06-30,1784201.0,ETN,74.19,2018-06-30,2660116.0
11902,ETN,76.95,2017-09-30,1753334.0,ETN,87.47,2018-09-30,1960149.0
11903,ETN,79.23,2017-12-31,2774064.0,ETN,68.52,2018-12-31,2281298.0
11904,ETN,79.47,2018-03-31,2401543.0,ETN,81.56,2019-03-31,2124575.0
11905,ETN,74.19,2018-06-30,2660116.0,ETN,84.55,2019-06-30,2302309.0
11906,ETN,87.47,2018-09-30,1960149.0,ETN,83.35,2019-09-30,1752265.0
11907,ETN,68.52,2018-12-31,2281298.0,ETN,94.78,2019-12-31,1461789.0
11908,ETN,81.56,2019-03-31,2124575.0,ETN,77.67,2020-03-31,5641217.0
11909,ETN,84.55,2019-06-30,2302309.0,ETN,86.47,2020-06-30,1910093.0
11910,ETN,83.35,2019-09-30,1752265.0,ETN,101.71,2020-09-30,1664804.0
11911,ETN,94.78,2019-12-31,1461789.0,ETN,119.27,2020-12-31,1056873.0
11912,ETN,77.67,2020-03-31,5641217.0,ETN,140.06,2021-03-31,2338219.0
11913,ETN,86.47,2020-06-30,1910093.0,ETN,146.1,2021-06-30,1597431.0
11914,ETN,101.71,2020-09-30,1664804.0,ETN,,,
11915,ETN,119.27,2020-12-31,1056873.0,ETN,,,
11916,ETN,140.06,2021-03-31,2338219.0,ETN,,,
11917,ETN,146.1,2021-06-30,1597431.0,ETN,,,
11918,ETR,77.57,2016-09-30,1753507.0,ETR,76.64,2017-09-30,958165.0
11919,ETR,73.5,2016-12-31,1263069.0,ETR,81.71,2017-12-31,1791973.0
11920,ETR,75.87,2017-03-31,826776.0,ETR,78.96,2018-03-31,1222519.0
11921,ETR,77.15,2017-06-30,1293713.0,ETR,81.09,2018-06-30,1652071.0
11922,ETR,76.64,2017-09-30,958165.0,ETR,80.95,2018-09-30,665650.0
11923,ETR,81.71,2017-12-31,1791973.0,ETR,85.62,2018-12-31,1079668.0
11924,ETR,78.96,2018-03-31,1222519.0,ETR,95.59,2019-03-31,1474408.0
11925,ETR,81.09,2018-06-30,1652071.0,ETR,102.81,2019-06-30,2366006.0
11926,ETR,80.95,2018-09-30,665650.0,ETR,117.43,2019-09-30,1144126.0
11927,ETR,85.62,2018-12-31,1079668.0,ETR,119.34,2019-12-31,1045444.0
11928,ETR,95.59,2019-03-31,1474408.0,ETR,98.71,2020-03-31,2620290.0
11929,ETR,102.81,2019-06-30,2366006.0,ETR,93.84,2020-06-30,1060151.0
11930,ETR,117.43,2019-09-30,1144126.0,ETR,96.6,2020-09-30,1651420.0
11931,ETR,119.34,2019-12-31,1045444.0,ETR,98.35,2020-12-31,992280.0
11932,ETR,98.71,2020-03-31,2620290.0,ETR,98.74,2021-03-31,1365821.0
11933,ETR,93.84,2020-06-30,1060151.0,ETR,100.6,2021-06-30,1195129.0
11934,ETR,96.6,2020-09-30,1651420.0,ETR,,,
11935,ETR,98.35,2020-12-31,992280.0,ETR,,,
11936,ETR,98.74,2021-03-31,1365821.0,ETR,,,
11937,ETR,100.6,2021-06-30,1195129.0,ETR,,,
11938,ETSY,14.48,2016-09-30,1482499.0,ETSY,16.96,2017-09-30,1349139.0
11939,ETSY,11.97,2016-12-31,1274405.0,ETSY,20.5,2017-12-31,1899524.0
11940,ETSY,10.42,2017-03-31,2320928.0,ETSY,28.07,2018-03-31,2475047.0
11941,ETSY,14.98,2017-06-30,856855.0,ETSY,41.74,2018-06-30,1394736.0
11942,ETSY,16.96,2017-09-30,1349139.0,ETSY,51.81,2018-09-30,1938810.0
11943,ETSY,20.5,2017-12-31,1899524.0,ETSY,47.9,2018-12-31,1527120.0
11944,ETSY,28.07,2018-03-31,2475047.0,ETSY,67.96,2019-03-31,1678952.0
11945,ETSY,41.74,2018-06-30,1394736.0,ETSY,63.58,2019-06-30,4601501.0
